Daily Predicted,Date,Real Average Monthly/30
1039.19578,Apr 2018,
1067.73647,Apr 2018,
864.8499263,Apr 2018,
1036.094066,Apr 2018,
1036.094066,Apr 2018,
750.6871663,Apr 2018,
893.3906163,Apr 2018,
864.8499263,Apr 2018,
921.9313063,May 2018,513.3666667
722.1464763,May 2018,
864.8499263,May 2018,
950.4719963,May 2018,
807.7685463,May 2018,
693.6057863,May 2018,
379.6581963,May 2018,
550.9023363,May 2018,
636.5244063,May 2018,
607.9837163,May 2018,
779.2278563,May 2018,
665.0650963,May 2018,
636.5244063,May 2018,
779.2278563,May 2018,
864.8499263,May 2018,
665.0650963,May 2018,
436.7395763,May 2018,
1007.553376,May 2018,
1036.094066,May 2018,
1007.553376,May 2018,
1036.094066,May 2018,
950.4719963,May 2018,
807.7685463,May 2018,
522.3616463,May 2018,
692.7327047,May 2018,
464.4071847,May 2018,
550.0292547,May 2018,
350.2444247,May 2018,
293.1630447,May 2018,
293.1630447,May 2018,
236.0816647,May 2018,
293.1630447,Jun 2018,213
293.1630447,Jun 2018,
635.6513247,Jun 2018,
521.4885647,Jun 2018,
207.5409747,Jun 2018,
321.7037347,Jun 2018,
607.1106347,Jun 2018,
578.5699447,Jun 2018,
407.3258047,Jun 2018,
321.7037347,Jun 2018,
264.6223547,Jun 2018,
93.37821472,Jun 2018,
407.3258047,Jun 2018,
407.3258047,Jun 2018,
521.4885647,Jun 2018,
407.3258047,Jun 2018,
521.4885647,Jun 2018,
550.0292547,Jun 2018,
464.4071847,Jun 2018,
407.3258047,Jun 2018,
293.1630447,Jun 2018,
207.5409747,Jun 2018,
93.37821472,Jun 2018,
88.59223046,Jun 2018,
88.59223046,Jun 2018,
31.51085046,Jun 2018,
31.51085046,Jun 2018,
145.6736105,Jun 2018,
259.8363705,Jun 2018,
117.1329205,Jun 2018,
145.6736105,Jul 2018,138.5333333
1,Jul 2018,
1,Jul 2018,
1,Jul 2018,
231.2956805,Jul 2018,
345.4584405,Jul 2018,
316.9177505,Jul 2018,
231.2956805,Jul 2018,
117.1329205,Jul 2018,
174.2143005,Jul 2018,
516.7025805,Jul 2018,
488.1618905,Jul 2018,
373.9991305,Jul 2018,
259.8363705,Jul 2018,
145.6736105,Jul 2018,
231.2956805,Jul 2018,
231.2956805,Jul 2018,
2.970160456,Jul 2018,
60.05154046,Jul 2018,
117.1329205,Jul 2018,
231.2956805,Jul 2018,
88.59223046,Jul 2018,
2.970160456,Jul 2018,
256.0725894,Jul 2018,
341.6946594,Jul 2018,
256.0725894,Jul 2018,
227.5318994,Jul 2018,
56.28775941,Jul 2018,
1,Jul 2018,
1,Jul 2018,
56.28775941,Jul 2018,
27.74706941,Aug 2018,141.4333333
27.74706941,Aug 2018,
84.82844941,Aug 2018,
84.82844941,Aug 2018,
84.82844941,Aug 2018,
313.1539694,Aug 2018,
427.3167294,Aug 2018,
427.3167294,Aug 2018,
398.7760394,Aug 2018,
313.1539694,Aug 2018,
227.5318994,Aug 2018,
113.3691394,Aug 2018,
27.74706941,Aug 2018,
27.74706941,Aug 2018,
56.28775941,Aug 2018,
27.74706941,Aug 2018,
1,Aug 2018,
1,Aug 2018,
113.3691394,Aug 2018,
170.4505194,Aug 2018,
341.6946594,Aug 2018,
227.5318994,Aug 2018,
160.1424047,Aug 2018,
245.7644747,Aug 2018,
217.2237847,Aug 2018,
274.3051647,Aug 2018,
245.7644747,Aug 2018,
359.9272347,Aug 2018,
474.0899947,Aug 2018,
445.5493047,Aug 2018,
417.0086147,Aug 2018,
445.5493047,Sep 2018,138.9
359.9272347,Sep 2018,
302.8458547,Sep 2018,
131.6017147,Sep 2018,
359.9272347,Sep 2018,
417.0086147,Sep 2018,
417.0086147,Sep 2018,
388.4679247,Sep 2018,
359.9272347,Sep 2018,
274.3051647,Sep 2018,
217.2237847,Sep 2018,
616.7934447,Sep 2018,
502.6306847,Sep 2018,
