Date,Henry Hub Daily Price
Mar-2015,2.79
Mar-2015,2.72
Mar-2015,2.86
Mar-2015,2.86
Mar-2015,2.8
Mar-2015,2.82
Mar-2015,2.68
Mar-2015,2.72
Mar-2015,2.82
Mar-2015,2.76
Mar-2015,2.76
Mar-2015,2.75
Mar-2015,2.89
Mar-2015,3.27
Mar-2015,3.27
Mar-2015,3
Mar-2015,2.79
Feb-2015,2.79
Feb-2015,3.21
Feb-2015,3.21
Feb-2015,3.22
Feb-2015,3.22
Feb-2015,3.02
Feb-2015,2.92
Feb-2015,2.92
Feb-2015,2.75
Feb-2015,2.75
Feb-2015,2.86
Feb-2015,2.86
Feb-2015,2.67
Feb-2015,2.62
Feb-2015,2.66
Feb-2015,2.66
Feb-2015,2.73
Feb-2015,2.67
Feb-2015,2.88
Jan-2015,2.88
Jan-2015,2.88
Jan-2015,2.89
Jan-2015,2.96
Jan-2015,2.92
Jan-2015,2.96
Jan-2015,2.95
Jan-2015,2.94
Jan-2015,2.94
Jan-2015,3.11
Jan-2015,3.32
Jan-2015,3.15
Jan-2015,2.92
Jan-2015,2.9
Jan-2015,2.96
Jan-2015,2.92
Jan-2015,3.08
Jan-2015,2.98
Jan-2015,3.22
Jan-2015,3.01
Dec-2014,3.14
Dec-2014,3.14
Dec-2014,3.07
Dec-2014,2.74
Dec-2014,2.99
Dec-2014,2.99
Dec-2014,3.05
Dec-2014,3.71
Dec-2014,3.71
Dec-2014,3.72
Dec-2014,3.58
Dec-2014,3.72
Dec-2014,3.91
Dec-2014,3.68
Dec-2014,3.65
Dec-2014,3.63
Dec-2014,3.42
Dec-2014,3.42
Dec-2014,3.63
Dec-2014,3.63
Dec-2014,3.77
Dec-2014,4.3
Nov-2014,4.3
Nov-2014,4.15
Nov-2014,4.09
Nov-2014,4.09
Nov-2014,4.32
Nov-2014,4.41
Nov-2014,4.41
Nov-2014,4.33
Nov-2014,4.26
Nov-2014,4.05
Nov-2014,4.2
Nov-2014,4.2
Nov-2014,4.18
Nov-2014,4.18
Nov-2014,3.92
Nov-2014,3.92
Nov-2014,3.83
Nov-2014,3.67
Nov-2014,3.82
Oct-2014,3.82
Oct-2014,3.76
Oct-2014,3.6
Oct-2014,3.53
Oct-2014,3.56
Oct-2014,3.53
Oct-2014,3.6
Oct-2014,3.69
Oct-2014,3.62
Oct-2014,3.69
Oct-2014,3.73
Oct-2014,3.8
Oct-2014,3.81
Oct-2014,3.91
Oct-2014,3.87
Oct-2014,3.86
Oct-2014,3.87
Oct-2014,3.88
Oct-2014,3.88
Oct-2014,3.89
Oct-2014,3.94
Oct-2014,4
Oct-2014,4.14
Sep-2014,4.14
Sep-2014,3.89
Sep-2014,3.89
Sep-2014,3.89
Sep-2014,3.84
Sep-2014,3.9
Sep-2014,3.88
Sep-2014,3.99
Sep-2014,3.99
Sep-2014,3.97
Sep-2014,3.85
Sep-2014,3.92
